Window_Start_Time,Dominant Status,Recommendation
7/9/2025 21:00,Shut-in,Shut-in detected. Verify operating schedule and surface conditions. Ensure Amps/Frequency are expected to be zero.
7/10/2025 0:00,Running, 
7/10/2025 3:00,Running, 
7/10/2025 6:00,Running, 
7/10/2025 9:00,Running, 
7/10/2025 12:00,Running, 
7/10/2025 15:00,Running, 
7/10/2025 18:00,Running, 
7/10/2025 21:00,Running, 
7/11/2025 0:00,Running, 
7/11/2025 3:00,Running, 
7/11/2025 6:00,Running, 
7/11/2025 9:00,Running, 
7/11/2025 12:00,Running, 
7/11/2025 15:00,Running, 
7/11/2025 18:00,Running, 
7/11/2025 21:00,Running, 
7/12/2025 0:00,Running, 
7/12/2025 3:00,Running, 
7/12/2025 6:00,Running, 
7/12/2025 9:00,Running, 
7/12/2025 12:00,Running, 
7/12/2025 15:00,Running, 
7/12/2025 18:00,Running, 
7/12/2025 21:00,Running, 
7/13/2025 0:00,Running, 
7/13/2025 3:00,Running, 
7/13/2025 6:00,Running, 
7/13/2025 9:00,Running, 
7/13/2025 12:00,Running, 
7/13/2025 15:00,Running, 
7/13/2025 18:00,Running, 
7/13/2025 21:00,Running, 
7/14/2025 0:00,Running, 
7/14/2025 3:00,Running, 
7/14/2025 6:00,Running, 
7/14/2025 9:00,Running, 
7/14/2025 12:00,Running, 
7/14/2025 15:00,Running, 
7/14/2025 18:00,Running, 
7/14/2025 21:00,Running, 
7/15/2025 0:00,Running, 
7/15/2025 3:00,Running, 
7/15/2025 6:00,Running, 
7/15/2025 9:00,Running, 
7/15/2025 12:00,Running, 
7/15/2025 15:00,Running, 
7/15/2025 18:00,Running, 
7/15/2025 21:00,Running, 
7/16/2025 3:00,Shut-in,Shut-in detected. Verify operating schedule and surface conditions. Ensure Amps/Frequency are expected to be zero.
7/16/2025 6:00,Running, 
7/16/2025 9:00,Running, 
7/16/2025 12:00,Running, 
7/16/2025 15:00,Running, 
7/16/2025 18:00,Running, 
7/16/2025 21:00,Running, 
7/17/2025 0:00,Running, 
7/17/2025 3:00,Running, 
7/17/2025 6:00,Running, 
7/17/2025 9:00,Running, 
7/17/2025 12:00,Running, 
7/17/2025 15:00,Running, 
7/17/2025 18:00,Running, 
7/17/2025 21:00,Running, 
7/18/2025 0:00,Running, 
7/18/2025 3:00,Running, 
7/18/2025 6:00,Running, 
7/18/2025 9:00,Running, 
7/18/2025 12:00,Running, 
7/18/2025 15:00,Running, 
7/18/2025 18:00,Running, 
7/18/2025 21:00,Running, 
7/19/2025 0:00,Running, 
7/19/2025 3:00,Running, 
7/19/2025 6:00,Running, 
7/19/2025 9:00,Running, 
7/19/2025 12:00,Running, 
7/19/2025 15:00,Running, 
7/19/2025 18:00,Running, 
7/19/2025 21:00,Running, 
7/20/2025 0:00,Running, 
7/20/2025 3:00,Running, 
7/20/2025 6:00,Running, 
7/20/2025 9:00,Running, 
7/20/2025 12:00,Running, 
7/20/2025 15:00,Running, 
7/20/2025 18:00,Running, 
7/20/2025 21:00,Running, 
7/21/2025 0:00,Running, 
7/21/2025 3:00,Running, 
7/21/2025 6:00,Running, 
7/21/2025 9:00,Running, 
7/21/2025 12:00,Running, 
7/21/2025 15:00,Running, 
7/21/2025 18:00,Running, 
7/21/2025 21:00,Running, 
7/22/2025 0:00,Running, 
7/22/2025 3:00,Running, 
7/22/2025 6:00,Running, 
7/22/2025 9:00,Running, 
7/22/2025 12:00,Running, 
7/22/2025 15:00,Running, 
7/22/2025 18:00,Running, 
7/22/2025 21:00,Running, 
7/23/2025 0:00,Running, 
7/23/2025 3:00,Running, 
7/23/2025 6:00,Running, 
7/23/2025 9:00,Running, 
7/23/2025 12:00,Running, 
7/23/2025 15:00,Running, 
7/23/2025 18:00,Running, 
7/23/2025 21:00,Running, 
7/24/2025 0:00,Running, 
7/24/2025 3:00,Running, 
7/24/2025 6:00,Running, 
7/24/2025 9:00,Running, 
7/24/2025 12:00,Running, 
7/24/2025 15:00,Running, 
7/24/2025 18:00,Running, 
7/24/2025 21:00,Running, 
7/25/2025 0:00,Running, 
7/25/2025 3:00,Running, 
7/25/2025 6:00,Running, 
7/25/2025 9:00,Running, 
7/25/2025 12:00,Running, 
7/25/2025 15:00,Running, 
7/25/2025 18:00,Running, 
7/25/2025 21:00,Running, 
7/26/2025 0:00,Running, 
7/26/2025 3:00,Running, 
7/26/2025 6:00,Running, 
7/26/2025 9:00,Running, 
7/26/2025 12:00,Running, 
7/26/2025 15:00,Running, 
7/26/2025 18:00,Running, 
7/26/2025 21:00,Running, 
7/27/2025 0:00,Running, 
7/27/2025 3:00,Running, 
7/27/2025 6:00,Running, 
7/27/2025 9:00,Running, 
7/27/2025 12:00,Running, 
7/27/2025 15:00,Running, 
7/27/2025 18:00,Running, 
7/27/2025 21:00,Running, 
7/28/2025 0:00,Running, 
7/28/2025 3:00,Running, 
7/28/2025 6:00,Running, 
7/28/2025 9:00,Running, 
7/28/2025 12:00,Running, 
7/28/2025 15:00,Running, 
7/28/2025 18:00,Running, 
7/28/2025 21:00,Running, 
7/29/2025 0:00,Running, 
7/29/2025 3:00,Running, 
7/29/2025 6:00,Running, 
7/29/2025 9:00,Running, 
7/29/2025 12:00,Running, 
7/29/2025 15:00,Running, 
7/29/2025 18:00,Running, 
7/29/2025 21:00,Running, 
7/30/2025 0:00,Running, 
7/30/2025 3:00,Running, 
7/30/2025 6:00,Running, 
7/30/2025 9:00,Running, 
7/30/2025 12:00,Running, 
7/30/2025 15:00,Running, 
7/30/2025 18:00,Running, 
7/30/2025 21:00,Running, 
7/31/2025 0:00,Running, 
7/31/2025 3:00,Running, 
7/31/2025 6:00,Running, 
7/31/2025 9:00,Running, 
7/31/2025 12:00,Running, 
7/31/2025 15:00,Running, 
7/31/2025 18:00,Running, 
7/31/2025 21:00,Running, 
