Location,UWI,Reading Time,Average Amps (A) (Raw),Drive Frequency (Hz) (Raw),Intake Pressure (psi) (Raw),Discharge Pressure (psi) (Raw),Intake Temperature (F) (Raw),Motor Temperature (F) (Raw),Vibration (gravit) (Raw)
SKW-18,SKW-18,2025-06-03 07:20:00,59.1,45,,,,,
SKW-18,SKW-18,2025-06-03 07:30:00,59.2,45,,,,,
SKW-18,SKW-18,2025-06-03 07:40:00,59.1,45,,,,,
SKW-18,SKW-18,2025-06-03 07:50:00,59.2,45,,,,,
SKW-18,SKW-18,2025-06-03 08:00:00,59.2,45,,,,,
SKW-18,SKW-18,2025-06-03 08:10:00,59.1,45,,,,,
SKW-18,SKW-18,2025-06-03 08:20:00,59,45,,,,,
SKW-18,SKW-18,2025-06-03 08:30:00,59,45,,,,,
SKW-18,SKW-18,2025-06-03 08:40:00,59,45,,,,,
SKW-18,SKW-18,2025-06-03 08:50:00,59,45,,,,,
SKW-18,SKW-18,2025-06-03 09:00:00,59.1,45,,,,,
SKW-18,SKW-18,2025-06-03 09:10:00,59.1,45,,,,,
SKW-18,SKW-18,2025-06-03 09:19:42,,45,,,,,
SKW-18,SKW-18,2025-06-03 09:20:00,59.1,45,,,,,
SKW-18,SKW-18,2025-06-03 09:20:40,59,,,,,,
SKW-18,SKW-18,2025-06-03 09:30:00,59,45,,,,,
SKW-18,SKW-18,2025-06-03 09:40:00,59.1,45,,,,,
SKW-18,SKW-18,2025-06-03 09:50:00,58.9,45,,,,,
SKW-18,SKW-18,2025-06-03 10:00:00,58.9,45,,,,,
SKW-18,SKW-18,2025-06-03 10:10:00,58.9,45,,,,,
SKW-18,SKW-18,2025-06-03 10:20:00,58.8,45,,,,,
SKW-18,SKW-18,2025-06-03 10:30:00,58.8,45,,,,,
SKW-18,SKW-18,2025-06-03 10:40:00,58.8,45,,,,,
SKW-18,SKW-18,2025-06-03 10:50:00,58.8,45,,,,,
SKW-18,SKW-18,2025-06-03 11:00:00,58.8,45,,,,,
SKW-18,SKW-18,2025-06-03 11:10:00,58.8,45,,,,,
SKW-18,SKW-18,2025-06-03 11:20:00,58.8,45,,,,,
SKW-18,SKW-18,2025-06-03 11:30:00,58.8,45,,,,,
SKW-18,SKW-18,2025-06-03 11:40:00,58.8,45,,,,,
SKW-18,SKW-18,2025-06-03 11:50:00,58.8,45,,,,,
SKW-18,SKW-18,2025-06-03 12:00:00,58.7,45,,,,,
SKW-18,SKW-18,2025-06-03 12:10:00,58.6,45,,,,,
SKW-18,SKW-18,2025-06-03 12:20:00,58.7,45,,,,,
SKW-18,SKW-18,2025-06-03 12:30:00,58.8,45,,,,,
SKW-18,SKW-18,2025-06-03 12:40:00,58.7,45,,,,,
SKW-18,SKW-18,2025-06-03 12:50:00,58.7,45,,,,,
SKW-18,SKW-18,2025-06-03 13:00:00,58.7,45,,,,,
SKW-18,SKW-18,2025-06-03 13:10:00,58.6,45,,,,,
SKW-18,SKW-18,2025-06-03 13:20:00,58.6,45,,,,,
SKW-18,SKW-18,2025-06-03 13:30:00,58.6,45,,,,,
SKW-18,SKW-18,2025-06-03 13:40:00,58.6,45,,,,,
SKW-18,SKW-18,2025-06-03 13:50:00,58.7,45,,,,,
SKW-18,SKW-18,2025-06-03 14:00:00,58.6,45,,,,,
SKW-18,SKW-18,2025-06-03 14:10:00,58.6,45,,,,,
SKW-18,SKW-18,2025-06-03 14:19:42,,45,,,,,
SKW-18,SKW-18,2025-06-03 14:19:45,,45,,,,,
SKW-18,SKW-18,2025-06-03 14:19:49,58.6,,,,,,
SKW-18,SKW-18,2025-06-03 14:19:52,58.6,,,,,,
SKW-18,SKW-18,2025-06-03 14:20:00,58.6,45,,,,,
SKW-18,SKW-18,2025-06-03 14:22:40,58.6,45,,,,,
SKW-18,SKW-18,2025-06-03 14:30:00,58.7,45,,,,,
SKW-18,SKW-18,2025-06-03 14:40:00,58.5,45,,,,,
SKW-18,SKW-18,2025-06-03 14:50:00,58.5,45,,,,,
SKW-18,SKW-18,2025-06-03 15:00:00,58.5,45,,,,,
SKW-18,SKW-18,2025-06-03 15:10:00,58.4,45,,,,,
SKW-18,SKW-18,2025-06-03 15:20:00,58.5,45,,,,,
SKW-18,SKW-18,2025-06-03 15:30:00,58.5,45,,,,,
SKW-18,SKW-18,2025-06-03 15:40:00,58.5,45,,,,,
SKW-18,SKW-18,2025-06-03 15:50:00,58.5,45,,,,,
SKW-18,SKW-18,2025-06-03 16:00:00,58.6,45,,,,,
SKW-18,SKW-18,2025-06-03 16:10:00,58.5,45,,,,,
SKW-18,SKW-18,2025-06-03 16:20:00,58.5,45,,,,,
SKW-18,SKW-18,2025-06-03 16:30:00,58.5,45,,,,,
SKW-18,SKW-18,2025-06-03 16:40:00,58.6,45,,,,,
SKW-18,SKW-18,2025-06-03 16:50:00,58.6,45,,,,,
SKW-18,SKW-18,2025-06-03 17:00:00,58.6,45,,,,,
SKW-18,SKW-18,2025-06-03 17:10:00,58.5,45,,,,,
SKW-18,SKW-18,2025-06-03 17:20:00,58.4,45,,,,,
SKW-18,SKW-18,2025-06-03 17:30:00,58.5,45,,,,,
SKW-18,SKW-18,2025-06-03 17:40:00,58.5,45,,,,,
SKW-18,SKW-18,2025-06-03 17:50:00,58.5,45,,,,,
SKW-18,SKW-18,2025-06-03 18:00:00,58.5,45,,,,,
SKW-18,SKW-18,2025-06-03 18:10:00,58.5,45,,,,,
SKW-18,SKW-18,2025-06-03 18:20:00,58.5,45,,,,,
SKW-18,SKW-18,2025-06-03 18:30:00,58.5,45,,,,,
SKW-18,SKW-18,2025-06-03 18:40:00,58.4,45,,,,,
SKW-18,SKW-18,2025-06-03 18:50:00,58.4,45,,,,,
SKW-18,SKW-18,2025-06-03 19:00:00,58.5,45,,,,,
SKW-18,SKW-18,2025-06-03 19:10:00,58.4,45,,,,,
SKW-18,SKW-18,2025-06-03 19:20:00,58.5,45,,,,,
SKW-18,SKW-18,2025-06-03 19:30:00,58.5,45,,,,,
SKW-18,SKW-18,2025-06-03 19:40:00,58.5,45,,,,,
SKW-18,SKW-18,2025-06-03 19:50:00,58.4,45,,,,,
SKW-18,SKW-18,2025-06-03 20:00:00,58.5,45,,,,,
SKW-18,SKW-18,2025-06-03 20:10:00,58.4,45,,,,,
SKW-18,SKW-18,2025-06-03 20:20:00,58.4,45,,,,,
SKW-18,SKW-18,2025-06-03 20:30:00,58.4,45,,,,,
SKW-18,SKW-18,2025-06-03 20:40:00,58.5,45,,,,,
SKW-18,SKW-18,2025-06-03 20:50:00,58.5,45,,,,,
SKW-18,SKW-18,2025-06-03 21:00:00,58.3,45,,,,,
SKW-18,SKW-18,2025-06-03 21:10:00,58.5,45,,,,,
SKW-18,SKW-18,2025-06-03 21:20:00,58.5,45,,,,,
SKW-18,SKW-18,2025-06-03 21:30:00,58.4,45,,,,,
SKW-18,SKW-18,2025-06-03 21:40:00,58.4,45,,,,,
SKW-18,SKW-18,2025-06-03 21:50:00,58.5,45,,,,,
SKW-18,SKW-18,2025-06-03 22:00:00,58.3,45,,,,,
SKW-18,SKW-18,2025-06-03 22:10:00,58.4,45,,,,,
SKW-18,SKW-18,2025-06-03 22:20:00,58.5,45,,,,,
SKW-18,SKW-18,2025-06-03 22:30:00,58.4,45,,,,,
SKW-18,SKW-18,2025-06-03 22:40:00,58.4,45,,,,,
SKW-18,SKW-18,2025-06-03 22:50:00,58.5,45,,,,,
SKW-18,SKW-18,2025-06-03 23:00:00,58.4,45,,,,,
SKW-18,SKW-18,2025-06-03 23:10:00,58.4,45,,,,,
SKW-18,SKW-18,2025-06-03 23:20:00,58.4,45,,,,,
SKW-18,SKW-18,2025-06-03 23:30:00,58.3,45,,,,,
SKW-18,SKW-18,2025-06-03 23:40:00,58.3,45,,,,,
SKW-18,SKW-18,2025-06-03 23:50:00,58.4,45,,,,,
SKW-18,SKW-18,2025-06-04 00:00:00,58.5,45,,,,,
SKW-18,SKW-18,2025-06-04 00:10:00,58.4,45,,,,,
SKW-18,SKW-18,2025-06-04 00:20:00,58.3,45,,,,,
SKW-18,SKW-18,2025-06-04 00:30:00,58.3,45,,,,,
SKW-18,SKW-18,2025-06-04 00:40:00,58.3,45,,,,,
SKW-18,SKW-18,2025-06-04 00:50:00,58.4,45,,,,,
SKW-18,SKW-18,2025-06-04 01:00:00,58.3,45,,,,,
SKW-18,SKW-18,2025-06-04 01:10:00,58.5,45,,,,,
SKW-18,SKW-18,2025-06-04 01:20:00,58.4,45,,,,,
SKW-18,SKW-18,2025-06-04 01:30:00,58.4,45,,,,,
SKW-18,SKW-18,2025-06-04 01:40:00,58.3,45,,,,,
SKW-18,SKW-18,2025-06-04 01:50:00,58.3,45,,,,,
SKW-18,SKW-18,2025-06-04 02:00:00,58.3,45,,,,,
SKW-18,SKW-18,2025-06-04 02:10:00,58.3,45,,,,,
SKW-18,SKW-18,2025-06-04 02:20:00,58.3,45,,,,,
SKW-18,SKW-18,2025-06-04 02:30:00,58.3,45,,,,,
SKW-18,SKW-18,2025-06-04 02:40:00,58.3,45,,,,,
SKW-18,SKW-18,2025-06-04 02:50:00,58.3,45,,,,,
SKW-18,SKW-18,2025-06-04 03:00:00,58.3,45,,,,,
SKW-18,SKW-18,2025-06-04 03:10:00,58.3,45,,,,,
SKW-18,SKW-18,2025-06-04 03:20:00,58.3,45,,,,,
SKW-18,SKW-18,2025-06-04 03:30:00,58.3,45,,,,,
SKW-18,SKW-18,2025-06-04 03:40:00,58.3,45,,,,,
SKW-18,SKW-18,2025-06-04 03:50:00,58.3,45,,,,,
SKW-18,SKW-18,2025-06-04 04:00:00,58.3,45,,,,,
SKW-18,SKW-18,2025-06-04 04:10:00,58.3,45,,,,,
SKW-18,SKW-18,2025-06-04 04:20:00,58.3,45,,,,,
SKW-18,SKW-18,2025-06-04 04:30:00,58.2,45,,,,,
SKW-18,SKW-18,2025-06-04 04:40:00,58.3,45,,,,,
SKW-18,SKW-18,2025-06-04 04:50:00,58.3,45,,,,,
SKW-18,SKW-18,2025-06-04 05:00:00,58.2,45,,,,,
SKW-18,SKW-18,2025-06-04 05:10:00,58.3,45,,,,,
SKW-18,SKW-18,2025-06-04 05:20:00,58.3,45,,,,,
SKW-18,SKW-18,2025-06-04 05:30:00,58.4,45,,,,,
SKW-18,SKW-18,2025-06-04 05:40:00,58.2,45,,,,,
SKW-18,SKW-18,2025-06-04 05:50:00,58.2,45,,,,,
SKW-18,SKW-18,2025-06-04 06:00:00,58.2,45,,,,,
SKW-18,SKW-18,2025-06-04 06:10:00,58.2,45,,,,,
SKW-18,SKW-18,2025-06-04 06:20:00,58.2,45,,,,,
SKW-18,SKW-18,2025-06-04 06:30:00,58.2,45,,,,,
SKW-18,SKW-18,2025-06-04 06:40:00,58.2,45,,,,,
SKW-18,SKW-18,2025-06-04 06:50:00,58.1,45,,,,,
SKW-18,SKW-18,2025-06-04 07:00:00,58.2,45,,,,,
SKW-18,SKW-18,2025-06-04 07:10:00,58.3,45,,,,,
SKW-18,SKW-18,2025-06-04 07:20:00,58.3,45,,,,,
SKW-18,SKW-18,2025-06-04 07:30:00,58.3,45,,,,,
SKW-18,SKW-18,2025-06-04 07:40:00,58.2,45,,,,,
SKW-18,SKW-18,2025-06-04 07:50:00,58.2,45,,,,,
SKW-18,SKW-18,2025-06-04 08:00:00,58.3,45,,,,,
SKW-18,SKW-18,2025-06-04 08:10:00,58.3,45,,,,,
SKW-18,SKW-18,2025-06-04 08:20:00,58.3,45,,,,,
SKW-18,SKW-18,2025-06-04 08:30:00,58.4,45,,,,,
SKW-18,SKW-18,2025-06-04 08:40:00,58.3,45,,,,,
SKW-18,SKW-18,2025-06-04 08:50:00,58.3,45,,,,,
SKW-18,SKW-18,2025-06-04 09:00:00,58.3,45,,,,,
SKW-18,SKW-18,2025-06-04 09:10:00,58.3,45,,,,,
SKW-18,SKW-18,2025-06-04 09:20:00,58.3,45,,,,,
SKW-18,SKW-18,2025-06-04 09:30:00,58.3,45,,,,,
SKW-18,SKW-18,2025-06-04 09:40:00,58.2,45,,,,,
SKW-18,SKW-18,2025-06-04 09:50:00,58.2,45,,,,,
SKW-18,SKW-18,2025-06-04 10:00:00,58.3,45,,,,,
SKW-18,SKW-18,2025-06-04 10:10:00,58.2,45,,,,,
SKW-18,SKW-18,2025-06-04 10:20:00,58.2,45,,,,,
SKW-18,SKW-18,2025-06-04 10:30:00,58.2,45,,,,,
SKW-18,SKW-18,2025-06-04 10:40:00,58.1,45,,,,,
SKW-18,SKW-18,2025-06-04 10:50:00,58.3,45,,,,,
SKW-18,SKW-18,2025-06-04 11:00:00,58.3,45,,0,,,
SKW-18,SKW-18,2025-06-04 11:10:00,58.2,45,,0,,,
SKW-18,SKW-18,2025-06-04 11:17:11,,,9466.99999999951,,,,
SKW-18,SKW-18,2025-06-04 11:19:09,,,9458.99999999965,,,,
SKW-18,SKW-18,2025-06-04 11:20:00,58.3,45,9458.99999999965,0,,,
SKW-18,SKW-18,2025-06-04 11:23:59,,,9452.99999999975,,,,
SKW-18,SKW-18,2025-06-04 11:28:20,,,9452.99999999975,,,,
SKW-18,SKW-18,2025-06-04 11:30:00,58.2,45,9450.99999999978,0,,,
SKW-18,SKW-18,2025-06-04 11:38:49,,,,14504.0000000003,,,
SKW-18,SKW-18,2025-06-04 11:40:00,58.2,45,9454.99999999971,14519.0000000007,,,
SKW-18,SKW-18,2025-06-04 11:50:00,58.2,45,9458.00000000039,14531.9999999998,,1475.999999996,
SKW-18,SKW-18,2025-06-04 11:50:26,58.2,45,9462.00000000032,14541.9999999996,,1475.999999996,
SKW-18,SKW-18,2025-06-04 12:00:00,58.2,45,9456.99999999968,14531.9999999998,,1475.999999996,
SKW-18,SKW-18,2025-06-04 12:03:59,58.2,45,9450.99999999978,14539.9999999997,,2975,
SKW-18,SKW-18,2025-06-04 12:10:00,58.2,45,9395.00000000073,14445.9999999998,,2976.999999998,
SKW-18,SKW-18,2025-06-04 12:10:25,58.3,45,9397.99999999996,14443.9999999998,2546.000000006,2976.000000008,
SKW-18,SKW-18,2025-06-04 12:14:14,58.2,45,9425.00000000022,14447.9999999998,2546.000000006,2976.000000008,60.0000000001702
SKW-18,SKW-18,2025-06-04 12:20:00,58.1,45,9446.99999999985,14430.9999999993,2546.999999996,2976.999999998,62.9999999995669
SKW-18,SKW-18,2025-06-04 12:20:01,58.1,,9446.99999999985,14430.9999999993,2546.999999996,2976.999999998,62.9999999995669
SKW-18,SKW-18,2025-06-04 12:30:00,58.3,45,9431.00000000012,14420.9999999995,2546.999999996,2975,63.9999999997057
SKW-18,SKW-18,2025-06-04 12:40:00,58.1,45,9411.00000000046,14445.9999999998,2548.000000004,2976.000000008,60.0000000001702
SKW-18,SKW-18,2025-06-04 12:50:00,58.2,45,9388.00000000013,14291.0000000003,2546.999999996,2976.000000008,60.0000000001702
SKW-18,SKW-18,2025-06-04 13:00:00,58.2,45,9401.99999999989,14459.0000000003,2548.000000004,2978.000000006,62.0000000004478
SKW-18,SKW-18,2025-06-04 13:10:00,58.2,45,9413.00000000043,14383.9999999994,2548.000000004,2976.000000008,57.9999999998926
SKW-18,SKW-18,2025-06-04 13:20:00,58.2,45,9386.00000000016,14406.9999999997,2548.999999994,2976.000000008,49.9999999998019
SKW-18,SKW-18,2025-06-04 13:30:00,58.2,45,9343.00000000017,14342.0000000001,2548.000000004,2976.999999998,55.0000000004959
SKW-18,SKW-18,2025-06-04 13:40:00,58.3,45,9378.99999999955,14283.0000000004,2548.000000004,2978.999999996,59.0000000000314
SKW-18,SKW-18,2025-06-04 13:50:00,58,45,9401.99999999989,14328.9999999996,2548.999999994,2978.000000006,59.0000000000314
SKW-18,SKW-18,2025-06-04 14:00:00,57.9,45,9374.00000000036,14349.0000000007,2548.999999994,2975,55.0000000004959
SKW-18,SKW-18,2025-06-04 14:10:00,57.9,45,9339.00000000023,14295.9999999995,2548.000000004,2976.000000008,56.9999999997538
SKW-18,SKW-18,2025-06-04 14:20:00,58,45,9382.99999999949,14312.0000000006,2548.000000004,2976.000000008,60.0000000001702
SKW-18,SKW-18,2025-06-04 14:30:00,58.2,45,9382.99999999949,14326.0000000004,2548.999999994,2976.999999998,57.9999999998926
SKW-18,SKW-18,2025-06-04 14:40:00,58.1,45,9349.00000000006,14340.0000000002,2548.999999994,2978.000000006,56.9999999997538
SKW-18,SKW-18,2025-06-04 14:50:00,58.3,45,9341.0000000002,14273.0000000006,2548.000000004,2978.000000006,64.9999999998445
SKW-18,SKW-18,2025-06-04 15:00:00,58.2,45,9382.99999999949,14328.0000000004,2548.999999994,2978.000000006,56.9999999997538
SKW-18,SKW-18,2025-06-04 15:10:00,58.2,45,9360.99999999986,14328.9999999996,2548.999999994,2978.000000006,54.0000000003571
SKW-18,SKW-18,2025-06-04 15:20:00,58.2,45,9329.99999999966,14312.9999999999,2548.999999994,2978.000000006,59.0000000000314
SKW-18,SKW-18,2025-06-04 15:30:00,58.1,45,9335.99999999956,14285.9999999996,2548.999999994,2980.000000004,55.999999999615
SKW-18,SKW-18,2025-06-04 15:40:00,58.2,45,9382.00000000023,14328.0000000004,2550.000000002,2978.999999996,59.0000000000314
SKW-18,SKW-18,2025-06-04 15:50:00,58.3,45,9356.99999999993,14332.9999999996,2550.999999992,2976.999999998,56.9999999997538
SKW-18,SKW-18,2025-06-04 16:00:00,57.3,45,9286.99999999967,14279.9999999997,2550.000000002,2978.000000006,55.999999999615
SKW-18,SKW-18,2025-06-04 16:10:00,57.9,45,9333.00000000033,14152.0000000005,2550.000000002,2978.000000006,62.9999999995669
SKW-18,SKW-18,2025-06-04 16:20:00,58.1,45,9315.9999999999,14262,2550.000000002,2976.999999998,59.0000000000314
SKW-18,SKW-18,2025-06-04 16:30:00,58.1,45,9341.99999999946,14322.9999999997,2552,2980.000000004,46.0000000002664
SKW-18,SKW-18,2025-06-04 16:40:00,58.2,45,9313.99999999993,14234.0000000005,2552,2978.000000006,57.9999999998926
SKW-18,SKW-18,2025-06-04 16:50:00,58,45,9286.00000000041,14287.9999999996,2550.999999992,2978.999999996,59.0000000000314
SKW-18,SKW-18,2025-06-04 17:00:00,58.3,45,9267.00000000001,14090.9999999993,2550.000000002,2980.000000004,59.0000000000314
SKW-18,SKW-18,2025-06-04 17:10:00,58.3,45,9302.00000000014,14301.9999999994,2550.999999992,2980.999999994,57.9999999998926
SKW-18,SKW-18,2025-06-04 17:20:00,58.3,45,9321.9999999998,14271.0000000006,2552,2980.999999994,59.0000000000314
SKW-18,SKW-18,2025-06-04 17:30:00,58.3,45,9292.99999999956,14269.9999999999,2550.999999992,2978.999999996,57.9999999998926
SKW-18,SKW-18,2025-06-04 17:40:00,58.2,45,9280.00000000051,14267.0000000007,2550.999999992,2980.000000004,55.0000000004959
SKW-18,SKW-18,2025-06-04 17:50:00,58.2,45,9292.99999999956,14213.0000000001,2550.999999992,2982.000000002,56.9999999997538
SKW-18,SKW-18,2025-06-04 18:00:00,58.3,45,9308.00000000003,14275.0000000005,2550.999999992,2982.000000002,54.0000000003571
SKW-18,SKW-18,2025-06-04 18:10:00,58.3,45,9290.00000000034,14271.0000000006,2550.999999992,2980.999999994,57.9999999998926
SKW-18,SKW-18,2025-06-04 18:20:00,58.3,45,9249.99999999957,14301.9999999994,2550.000000002,2980.999999994,56.9999999997538
SKW-18,SKW-18,2025-06-04 18:30:00,58.3,45,9329.0000000004,14320.9999999998,2550.999999992,2982.999999992,56.9999999997538
SKW-18,SKW-18,2025-06-04 18:40:00,58.2,45,9358.00000000063,14293.0000000002,2553.000000008,2980.999999994,56.9999999997538
SKW-18,SKW-18,2025-06-04 18:50:00,58.2,45,9286.99999999967,14316.0000000006,2553.000000008,2978.000000006,62.0000000004478
SKW-18,SKW-18,2025-06-04 19:00:00,58.1,45,9229.00000000065,14228.0000000006,2552,2978.999999996,55.0000000004959
SKW-18,SKW-18,2025-06-04 19:10:00,58.2,45,9288.99999999963,14207.9999999995,2552,2982.999999992,57.9999999998926
SKW-18,SKW-18,2025-06-04 19:20:00,58.2,45,9358.99999999989,14316.0000000006,2553.999999998,2982.000000002,62.0000000004478
SKW-18,SKW-18,2025-06-04 19:30:00,58.2,45,9231.00000000062,14305,2555.000000006,2978.000000006,56.9999999997538
SKW-18,SKW-18,2025-06-04 19:40:00,58.3,45,9200.00000000042,14236.9999999997,2553.999999998,2978.999999996,59.0000000000314
SKW-18,SKW-18,2025-06-04 19:50:00,58.2,45,9222.9999999993,14176.9999999993,2552,2982.000000002,55.999999999615
SKW-18,SKW-18,2025-06-04 20:00:00,58.2,45,9259.00000000014,14318.9999999998,2553.000000008,2982.999999992,52.0000000000795
SKW-18,SKW-18,2025-06-04 20:10:00,58.2,45,9253.9999999995,14281.9999999997,2553.999999998,2982.000000002,59.0000000000314
SKW-18,SKW-18,2025-06-04 20:20:00,58.2,45,9237.99999999977,14291.0000000003,2553.999999998,2982.000000002,60.0000000001702
SKW-18,SKW-18,2025-06-04 20:30:00,58.3,45,9227.99999999994,14219,2553.000000008,2982.999999992,54.0000000003571
SKW-18,SKW-18,2025-06-04 20:40:00,58.1,45,9239.99999999974,14221,2553.000000008,2982.000000002,49.9999999998019
SKW-18,SKW-18,2025-06-04 20:50:00,58,45,9245.99999999964,14301.0000000001,2553.000000008,2980.999999994,54.0000000003571
SKW-18,SKW-18,2025-06-04 21:00:00,58.4,45,9245.99999999964,14287.9999999996,2552,2980.999999994,55.999999999615
SKW-18,SKW-18,2025-06-04 21:10:00,58.2,45,9257.00000000017,14330.9999999996,2552,2982.000000002,57.9999999998926
SKW-18,SKW-18,2025-06-04 21:20:00,58.3,45,9270.00000000068,14348,2553.000000008,2982.999999992,49.9999999998019
SKW-18,SKW-18,2025-06-04 21:22:56,58.3,45,9247.00000000034,14395,2553.000000008,2984,55.999999999615
SKW-18,SKW-18,2025-06-04 21:30:00,58.3,45,9276.00000000058,14359.9999999998,2553.000000008,2982.999999992,60.0000000001702
SKW-18,SKW-18,2025-06-04 21:40:00,58.2,45,9251.99999999953,14357.0000000006,2553.000000008,2982.000000002,62.9999999995669
SKW-18,SKW-18,2025-06-04 21:50:00,58.3,45,9227.00000000068,14375.0000000003,2553.000000008,2980.999999994,59.0000000000314
SKW-18,SKW-18,2025-06-04 22:00:00,58.3,45,9227.99999999994,14367.0000000004,2553.000000008,2984,55.0000000004959
SKW-18,SKW-18,2025-06-04 22:10:00,58.2,45,9300.00000000017,14361.0000000005,2553.999999998,2984,55.999999999615
SKW-18,SKW-18,2025-06-04 22:20:00,58.2,45,9251.99999999953,14334.9999999995,2555.000000006,2982.000000002,56.9999999997538
SKW-18,SKW-18,2025-06-04 22:30:00,58.2,45,9194.99999999978,14361.9999999998,2553.999999998,2982.999999992,56.9999999997538
SKW-18,SKW-18,2025-06-04 22:40:00,58.3,45,9227.00000000068,14344.9999999993,2553.999999998,2985.000000008,55.999999999615
SKW-18,SKW-18,2025-06-04 22:50:00,58.2,45,9268.00000000071,14355.0000000006,2555.000000006,2984,56.9999999997538
SKW-18,SKW-18,2025-06-04 23:00:00,58.2,45,9233.00000000058,14344.9999999993,2555.000000006,2982.000000002,55.0000000004959
SKW-18,SKW-18,2025-06-04 23:10:00,58.2,45,9179.99999999931,14310.0000000007,2553.999999998,2982.999999992,53.0000000002183
SKW-18,SKW-18,2025-06-04 23:20:00,58.3,45,9220.99999999934,14305,2553.999999998,2985.000000008,55.0000000004959
SKW-18,SKW-18,2025-06-04 23:30:00,58.2,45,9245.00000000038,14344.0000000001,2555.000000006,2984,54.0000000003571
SKW-18,SKW-18,2025-06-04 23:40:00,58.2,45,9220.00000000008,14342.0000000001,2555.000000006,2984,53.0000000002183
SKW-18,SKW-18,2025-06-04 23:50:00,58.3,45,9186.00000000065,14357.9999999999,2553.999999998,2984,55.0000000004959
SKW-18,SKW-18,2025-06-05 00:00:00,58.3,45,9233.00000000058,14346.0000000001,2555.000000006,2985.999999998,59.0000000000314
SKW-18,SKW-18,2025-06-05 00:10:00,58.3,45,9251.00000000028,14334.9999999995,2555.000000006,2985.000000008,49.9999999998019
SKW-18,SKW-18,2025-06-05 00:20:00,58.1,45,9192.99999999981,14385.0000000001,2555.000000006,2984,59.0000000000314
SKW-18,SKW-18,2025-06-05 00:30:00,58.3,45,9194.99999999978,14332.9999999996,2553.999999998,2984,55.999999999615
