Location,UWI,Reading Time,Average Amps (A) (Raw),Drive Frequency (Hz) (Raw),Intake Pressure (psi) (Raw),Discharge Pressure (psi) (Raw),Intake Temperature (F) (Raw),Motor Temperature (F) (Raw),Vibration (gravit) (Raw)
SKW-18,SKW-18,2025-06-01 11:54:26,0,0,,,,,
SKW-18,SKW-18,2025-06-01 12:00:00,0,0,,,,,
SKW-18,SKW-18,2025-06-03 00:10:00,0.1,52.34,,,,,
SKW-18,SKW-18,2025-06-03 00:28:58,0,,,,,,
SKW-18,SKW-18,2025-06-03 00:40:00,0,0,,,,,
SKW-18,SKW-18,2025-06-03 00:48:54,0,,,,,,
SKW-18,SKW-18,2025-06-03 00:48:58,0,,,,,,
SKW-18,SKW-18,2025-06-03 01:10:00,0,0,,,,,
SKW-18,SKW-18,2025-06-03 01:20:00,0,0,,,,,
SKW-18,SKW-18,2025-06-03 01:30:00,0,0,,,,,
SKW-18,SKW-18,2025-06-03 01:40:00,0,0,,,,,
SKW-18,SKW-18,2025-06-03 01:41:57,0,0,,,,,
SKW-18,SKW-18,2025-06-03 02:08:56,0,0,,,,,
SKW-18,SKW-18,2025-06-03 02:24:54,0,0,,,,,
SKW-18,SKW-18,2025-06-03 02:24:55,0,,,,,,
SKW-18,SKW-18,2025-06-03 02:30:00,0,0,,,,,
SKW-18,SKW-18,2025-06-03 02:40:00,51.9,35,,,,,
SKW-18,SKW-18,2025-06-03 02:50:00,42.6,20,,,,,
SKW-18,SKW-18,2025-06-03 03:00:00,63.9,45,,,,,
SKW-18,SKW-18,2025-06-03 03:10:00,60.4,45,,,,,
SKW-18,SKW-18,2025-06-03 03:20:00,60.3,45,,,,,
SKW-18,SKW-18,2025-06-03 03:29:53,60.1,45,,,,,
SKW-18,SKW-18,2025-06-03 03:30:00,60.1,45,,,,,
SKW-18,SKW-18,2025-06-03 03:40:00,60,45,,,,,
SKW-18,SKW-18,2025-06-03 03:50:00,60,45,,,,,
SKW-18,SKW-18,2025-06-03 04:00:00,59.9,45,,,,,
SKW-18,SKW-18,2025-06-03 04:10:00,59.9,45,,,,,
SKW-18,SKW-18,2025-06-03 04:20:00,59.8,45,,,,,
SKW-18,SKW-18,2025-06-03 04:30:00,59.8,45,,,,,
SKW-18,SKW-18,2025-06-03 04:40:00,59.6,45,,,,,
SKW-18,SKW-18,2025-06-03 04:50:00,59.7,45,,,,,
SKW-18,SKW-18,2025-06-03 05:00:00,59.6,45,,,,,
SKW-18,SKW-18,2025-06-03 05:10:00,59.6,45,,,,,
SKW-18,SKW-18,2025-06-03 05:20:00,59.6,45,,,,,
SKW-18,SKW-18,2025-06-03 05:30:00,59.5,45,,,,,
SKW-18,SKW-18,2025-06-03 05:40:00,59.5,45,,,,,
SKW-18,SKW-18,2025-06-03 05:50:00,59.4,45,,,,,
SKW-18,SKW-18,2025-06-03 06:00:00,59.3,45,,,,,
SKW-18,SKW-18,2025-06-03 06:10:00,59.4,45,,,,,
SKW-18,SKW-18,2025-06-03 06:20:00,59.4,45,,,,,
SKW-18,SKW-18,2025-06-03 06:30:00,59.2,45,,,,,
SKW-18,SKW-18,2025-06-03 06:40:00,59.2,45,,,,,
SKW-18,SKW-18,2025-06-03 06:50:00,59.2,45,,,,,
SKW-18,SKW-18,2025-06-03 07:00:00,59.2,45,,,,,
SKW-18,SKW-18,2025-06-03 07:10:00,59.1,45,,,,,
