Date,FWHP,CHOKE,TIME PROD,OIL,WATER,GROSS,GAS,WC,GOR,CUMM OIL,CUMM OIL
7-Mar-25, 175 , 128 , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
8-Mar-25, 175 , 128 , 24 , -   ," 1,135 "," 1,135 ", 98 , 100.00 , - ," 516,935 ", 517 
9-Mar-25, 165 , 128 , 24 , -   ," 1,316 "," 1,316 ", 186 , 100.00 , - ," 516,935 ", 517 
10-Mar-25, 160 , 102 , 24 , -   ," 1,316 "," 1,316 ", 186 , 100.00 , - ," 516,935 ", 517 
11-Mar-25, 160 , 102 , 24 , -   ," 1,333 "," 1,333 ", 257 , 100.00 , - ," 516,935 ", 517 
12-Mar-25, 165 , 102 , 24 , -   ," 1,375 "," 1,375 ", 167 , 100.00 , - ," 516,935 ", 517 
13-Mar-25, 160 , 102 , 24 , -   ," 1,375 "," 1,375 ", 167 , 100.00 , - ," 516,935 ", 517 
14-Mar-25, 165 , 102 , 24 , -   ," 1,375 "," 1,375 ", 167 , 100.00 , - ," 516,935 ", 517 
15-Mar-25, 170 , 102 , 24 , -   ," 1,375 "," 1,375 ", 167 , 100.00 , - ," 516,935 ", 517 
16-Mar-25, 170 , 102 , 24 , -   ," 1,375 "," 1,375 ", 167 , 100.00 , - ," 516,935 ", 517 
17-Mar-25, 170 , 102 , 24 , -   ," 1,375 "," 1,375 ", 167 , 100.00 , - ," 516,935 ", 517 
18-Mar-25, 175 , 102 , 24 , -   ," 1,356 "," 1,356 ", 161 , 100.00 , - ," 516,935 ", 517 
19-Mar-25, 155 , 102 , 24 , -   ," 1,356 "," 1,356 ", 161 , 100.00 , - ," 516,935 ", 517 
20-Mar-25, 160 , 102 , 24 , -   ," 1,356 "," 1,356 ", 161 , 100.00 , - ," 516,935 ", 517 
21-Mar-25, 160 , 102 , 24 , -   ," 1,356 "," 1,356 ", 161 , 100.00 , - ," 516,935 ", 517 
22-Mar-25, 160 , 102 , 24 , -   ," 1,356 "," 1,356 ", 161 , 100.00 , - ," 516,935 ", 517 
23-Mar-25, 160 , 102 , 24 , -   ," 1,356 "," 1,356 ", 161 , 100.00 , - ," 516,935 ", 517 
24-Mar-25, 160 , 102 , 24 , -   ," 1,356 "," 1,356 ", 161 , 100.00 , - ," 516,935 ", 517 
25-Mar-25, 160 , 102 , 24 , -   ," 1,356 "," 1,356 ", 161 , 100.00 , - ," 516,935 ", 517 
26-Mar-25, 155 , 102 , 10 , -   , 537 , 537 , 64 , 100.00 , - ," 516,935 ", 517 
27-Mar-25, 155 , 102 , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
28-Mar-25, 155 , 102 , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
29-Mar-25, 155 , 102 , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
30-Mar-25, 155 , 102 , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
31-Mar-25, 155 , 102 , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
1-Apr-25, 155 , 102 , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
2-Apr-25, 160 , 102 , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
3-Apr-25, 155 , 102 , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
4-Apr-25, 155 , 102 , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
5-Apr-25, 155 , 102 , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
6-Apr-25, 165 , 102 , 7 , -   , 395 , 395 , 47 , 100.00 , - ," 516,935 ", 517 
7-Apr-25, 165 , 102 , 24 , -   ," 1,356 "," 1,356 ", 161 , 100.00 , - ," 516,935 ", 517 
8-Apr-25, 165 , 102 , 24 , -   ," 1,356 "," 1,356 ", 161 , 100.00 , - ," 516,935 ", 517 
9-Apr-25, 160 , 102 , 24 , -   ," 1,356 "," 1,356 ", 161 , 100.00 , - ," 516,935 ", 517 
10-Apr-25, 160 , 102 , 24 , -   ," 1,327 "," 1,327 ", 104 , 100.00 , - ," 516,935 ", 517 
11-Apr-25, 160 , 102 , 24 , -   ," 1,327 "," 1,327 ", 104 , 100.00 , - ," 516,935 ", 517 
12-Apr-25, 160 , 102 , 24 , -   ," 1,327 "," 1,327 ", 104 , 100.00 , - ," 516,935 ", 517 
13-Apr-25, 160 , 102 , 24 , -   ," 1,327 "," 1,327 ", 104 , 100.00 , - ," 516,935 ", 517 
14-Apr-25, 160 , 102 , 24 , -   ," 1,327 "," 1,327 ", 104 , 100.00 , - ," 516,935 ", 517 
15-Apr-25, 160 , 102 , 24 , -   ," 1,327 "," 1,327 ", 104 , 100.00 , - ," 516,935 ", 517 
16-Apr-25, 150 , 102 , 10 , -   , 525 , 525 , 41 , 100.00 , - ," 516,935 ", 517 
17-Apr-25, 150 , 102 , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
18-Apr-25, 155 , 102 , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
19-Apr-25, 155 , 102 , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
20-Apr-25, 150 , 102 , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
21-Apr-25, 155 , 102 , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
22-Apr-25, 155 , 102 , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
23-Apr-25, 160 , 102 , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
24-Apr-25, 160 , 102 , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
25-Apr-25, 160 , 102 , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
26-Apr-25, 160 , 102 , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
27-Apr-25, 160 , 102 , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
28-Apr-25, 160 , 102 , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
29-Apr-25, 180 , 102 , 14 , -   , 670 , 670 , 73 , 100.00 , - ," 516,935 ", 517 
30-Apr-25, 170 , 102 , 24 , -   , 936 , 936 , 119 , 100.00 , - ," 516,935 ", 517 
1-May-25, 165 , 102 , 24 , -   , 936 , 936 , 119 , 100.00 , - ," 516,935 ", 517 
2-May-25, 170 , 102 , 24 , -   , 962 , 962 , 90 , 100.00 , - ," 516,935 ", 517 
3-May-25, 165 , 102 , 24 , -   , 962 , 962 , 90 , 100.00 , - ," 516,935 ", 517 
4-May-25, 165 , 102 , 24 , -   , 962 , 962 , 90 , 100.00 , - ," 516,935 ", 517 
5-May-25, 165 , 102 , 24 , -   , 962 , 962 , 90 , 100.00 , - ," 516,935 ", 517 
6-May-25, 170 , 102 , 24 , -   , 962 , 962 , 90 , 100.00 , - ," 516,935 ", 517 
7-May-25, 170 , 102 , 24 , -   , 962 , 962 , 90 , 100.00 , - ," 516,935 ", 517 
8-May-25, 170 , 102 , 24 , -   , 962 , 962 , 90 , 100.00 , - ," 516,935 ", 517 
9-May-25, 170 , 102 , 24 , -   , 962 , 962 , 90 , 100.00 , - ," 516,935 ", 517 
10-May-25, 170 , 102 , 17 , -   , 682 , 682 , 64 , 100.00 , - ," 516,935 ", 517 
11-May-25, 160 , 102 , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
12-May-25, 160 , 102 , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
13-May-25, 160 , 102 , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
14-May-25, 160 , 102 , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
15-May-25, 160 , 102 , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
16-May-25, 160 , 102 , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
17-May-25, 160 , 102 , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
18-May-25, 160 , 102 , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
19-May-25, 160 , 102 , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
20-May-25, 160 , 102 , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
21-May-25, 160 , 102 , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
22-May-25, 160 , 102 , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
23-May-25, 160 , 102 , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
24-May-25, 155 , 102 , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
25-May-25, 150 , 102 , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
26-May-25, 150 , 102 , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
27-May-25, 150 , 102 , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
28-May-25, 150 , 102 , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
29-May-25, 150 , 102 , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
30-May-25, 150 , 102 , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
31-May-25, 150 , 102 , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
1-Jun-25, 150 , 102 , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
2-Jun-25, -   , 102 , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
3-Jun-25, -   , 102 , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
4-Jun-25, -   , 102 , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
5-Jun-25, -   , 102 , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
6-Jun-25, -   , S/I , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
7-Jun-25, -   , S/I , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
8-Jun-25, -   , S/I , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
9-Jun-25, -   , S/I , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
10-Jun-25, -   , S/I , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
11-Jun-25, -   , S/I , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
12-Jun-25, -   , S/I , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
13-Jun-25, -   , S/I , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
14-Jun-25, -   , S/I , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
15-Jun-25, -   , S/I , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
16-Jun-25, -   , S/I , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
17-Jun-25, -   , S/I , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
18-Jun-25, -   , S/I , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
19-Jun-25, -   , S/I , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
20-Jun-25, -   , S/I , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
21-Jun-25, -   , S/I , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
22-Jun-25, -   , S/I , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
23-Jun-25, -   , S/I , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
24-Jun-25, -   , S/I , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
25-Jun-25, -   , S/I , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
26-Jun-25, -   , S/I , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
27-Jun-25, 165 , S/I , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
28-Jun-25, 165 , S/I , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
29-Jun-25, 165 , S/I , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
30-Jun-25, 165 , S/I , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
1-Jul-25, 165 , S/I , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
2-Jul-25, 165 , S/I , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
3-Jul-25, 165 , S/I , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
4-Jul-25, 165 , S/I , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
5-Jul-25, 165 , S/I , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
6-Jul-25, 165 , S/I , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
7-Jul-25, 165 , S/I , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
8-Jul-25, 165 , S/I , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
9-Jul-25, 165 , S/I , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
10-Jul-25, 165 , S/I , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
11-Jul-25, 165 , S/I , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
12-Jul-25, 165 , S/I , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
13-Jul-25, 165 , S/I , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
14-Jul-25, 165 , S/I , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
15-Jul-25, 165 , S/I , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
16-Jul-25, 165 , S/I , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
17-Jul-25, 165 , S/I , -   , -   , -   , -   , -   , - , - ," 516,935 ", 517 
