Location,UWI,Reading Time,Average Amps (A) (Raw),Drive Frequency (Hz) (Raw),Intake Pressure (psi) (Raw),Discharge Pressure (psi) (Raw),Intake Temperature (F) (Raw),Motor Temperature (F) (Raw),Vibration (gravit) (Raw),Virtual Rate (BFPD) (Raw)
SKW-15,SKW-15,2025-07-28 00:27:00,19.8,45.0,804.900000000038,2363.09999999983,95.300000006,119.600000006,0.00611829726,1270.2531616637207
SKW-15,SKW-15,2025-07-28 00:30:00,19.5,45.0,804.900000000038,2361.50000000015,95.500000004,119.199999992,0.00713801347,1273.165642650508
SKW-15,SKW-15,2025-07-28 00:31:00,19.5,45.0,804.799999999968,2361.09999999986,95.599999994,119.699999996,0.00713801347,1273.0579448104627
SKW-15,SKW-15,2025-07-28 00:32:00,19.0,45.0,804.799999999968,2360.99999999979,95.599999994,119.699999996,0.00611829726,1277.533885166628
SKW-15,SKW-15,2025-07-28 00:35:00,19.9,45.0,804.799999999968,2360.20000000068,95.700000002,119.699999996,0.00713801347,1269.1330645231371
SKW-15,SKW-15,2025-07-28 00:36:00,20.7,45.0,804.699999999897,2358.89999999976,95.700000002,119.400000008,0.00713801347,1406.8616286117604
SKW-15,SKW-15,2025-07-28 00:37:00,21.2,45.0,803.500000000497,2355.80000000046,95.799999992,119.699999996,0.00611829726,1412.4273220217897
SKW-15,SKW-15,2025-07-28 00:39:00,21.4,45.0,801.40000000046,2356.1999999993,95.799999992,120.700000004,0.00713801347,1414.421182592171
SKW-15,SKW-15,2025-07-28 00:40:00,21.2,45.0,801.300000000389,2357.60000000029,95.799999992,121.1,0.00509858105,1412.2946794630227
SKW-15,SKW-15,2025-07-28 00:41:00,20.9,45.0,801.799999999293,2358.00000000057,95.799999992,121.299999998,0.00611829726,1408.9286499101195
SKW-15,SKW-15,2025-07-28 00:43:00,19.3,45.0,803.89999999933,2359.0999999999,95.799999992,121.699999994,0.00611829726,1274.5595005922103
SKW-15,SKW-15,2025-07-28 00:44:00,20.1,45.0,803.999999999401,2359.40000000011,95.799999992,121.200000008,0.00611829726,1266.7866562443337
SKW-15,SKW-15,2025-07-28 00:45:00,19.8,45.0,804.099999999472,2359.30000000004,95.799999992,120.799999994,0.00611829726,1269.9540548673685
SKW-15,SKW-15,2025-07-28 00:49:00,19.4,45.0,803.600000000568,2358.00000000057,96.000000008,120.099999992,0.00611829726,1273.9084138828064
SKW-15,SKW-15,2025-07-28 00:50:00,19.1,45.0,803.999999999401,2358.49999999947,96.099999998,120.399999998,0.00713801347,1276.4898979818058
SKW-15,SKW-15,2025-07-28 00:51:00,20.3,45.0,803.999999999401,2358.3999999994,96.099999998,120.599999996,0.00713801347,1387.986162722847
SKW-15,SKW-15,2025-07-28 00:52:00,21.0,45.0,803.89999999933,2357.9000000005,96.099999998,120.399999998,0.00611829726,1410.0167283219325
SKW-15,SKW-15,2025-07-28 00:54:00,20.5,45.0,803.80000000071,2356.79999999972,96.099999998,121.1,0.00611829726,1385.3886075935511
SKW-15,SKW-15,2025-07-28 00:55:00,20.3,45.0,802.800000000001,2353.8000000005,96.200000006,120.700000004,0.00611829726,1388.039582493626
SKW-15,SKW-15,2025-07-28 00:56:00,19.9,45.0,802.900000000072,2353.40000000021,96.200000006,120.900000002,0.00713801347,1268.898534910637
SKW-15,SKW-15,2025-07-28 00:59:00,19.0,45.0,803.300000000356,2352.00000000067,96.200000006,120.599999996,0.00611829726,1277.346307842305
SKW-15,SKW-15,2025-07-28 01:01:00,20.5,45.0,802.499999999789,2349.70000000049,96.299999996,119.899999994,0.00509858105,1385.7494370076122
SKW-15,SKW-15,2025-07-28 01:03:00,19.2,45.0,803.100000000214,2350.79999999982,96.400000004,120.300000008,0.00611829726,1275.6262821908658
SKW-15,SKW-15,2025-07-28 01:04:00,19.4,45.0,803.100000000214,2350.79999999982,96.400000004,120.300000008,0.00611829726,1273.8166130612447
SKW-15,SKW-15,2025-07-28 01:08:00,19.9,45.0,803.000000000143,2350.00000000071,96.499999994,121.400000006,0.00509858105,1268.741477071998
SKW-15,SKW-15,2025-07-28 01:12:00,21.2,45.0,796.599999999962,2347.90000000067,96.400000004,121.899999992,0.00611829726,1412.2875937415283
SKW-15,SKW-15,2025-07-28 01:13:00,21.1,45.0,796.599999999962,2347.90000000067,96.400000004,121.899999992,0.00611829726,1411.218533655256
SKW-15,SKW-15,2025-07-28 01:14:00,20.7,45.0,798.90000000014,2349.10000000007,96.400000004,122.399999996,0.00509858105,1406.4350393793422
SKW-15,SKW-15,2025-07-28 01:15:00,20.3,45.0,799.999999999469,2349.50000000035,96.400000004,122.199999998,0.00509858105,1387.852096756464
SKW-15,SKW-15,2025-07-28 01:16:00,19.9,45.0,802.099999999506,2349.90000000063,96.499999994,121.899999992,0.00509858105,1268.6993300705424
SKW-15,SKW-15,2025-07-28 01:19:00,19.9,45.0,802.099999999506,2347.50000000039,96.600000002,121.400000006,0.00713801347,1268.755911452935
