A,IP,DP,IT,MT,V,R
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-0.000166666666783082,0.0,0.0003333333299999746,0.0003333333299999746,0.0,0.0
-0.0010178169326605418,-0.0032289081373907814,-0.20225012738129503,0.0001643628464933945,-0.0005136338913807859,0.0,-0.5240423831357759
0.00013655009232333462,-0.06767393091075481,0.011050790738260789,0.0022100475899405865,0.01061423585410706,1.8358943149645147e-06,-0.0019235297481795131
0.00017599126344085614,-0.005323420698782863,0.018776881720311712,0.003217825946446827,0.0030846774201108928,3.169480827452524e-07,1.6981108724052008e-05
-4.0044493882091214e-05,0.0007267334067973259,0.007172784575312398,0.0028746755666295976,0.0027738227662957855,2.0417009766404748e-07,-0.0006784624854392108
-0.00010493140526510938,0.0006321839073023923,-0.008948832035549064,0.003065257698153503,0.002600296627608464,-6.805669922135946e-07,-0.0011481952310407756
1.7055988134964774e-05,0.000931405265613545,0.003875046347745961,0.0028153503862959075,0.0028290693357729824,-1.5879896484982095e-07,-0.0005703679003606929
-8.305524657026325e-05,0.004974416017665411,-0.005979236188344542,0.002580274379733103,0.001216166107007731,6.087293652576845e-07,-0.0008437734363680496
-0.00038413051538746756,0.0006040044495590264,-0.03638487207978603,0.0023830181671635232,0.001696700038865486,-5.557963769744295e-07,-0.003929696498436644
-0.00011902113459399332,0.019305153874530072,-0.0057771598072042275,0.0020103819068076263,0.0017130144589320802,5.784819433815428e-07,0.015217843272105944
2.9662588060664423e-06,-0.001071560993832525,-0.002461994809159433,0.001571746384271342,0.001388579905962247,3.856546289210098e-07,0.026826080776146045
0.00014682981090100112,-0.054131998516825014,-0.003482758620761481,0.001738969224026631,0.0021750092736373197,-6.42757714868537e-08,0.2334430212211276
-6.340378197999214e-05,0.0070196514645014235,-0.00027474972181562704,0.0022495365205561935,0.0017081942908565315,7.637474023730193e-07,0.00014704315016004038
-4.078605858346753e-06,-0.010930663700354452,-0.0031479421579551233,0.0014175009273636975,0.0011631442338820791,2.684458691508731e-07,0.00023558205348730619
-6.414534668149797e-05,0.0017775305897382366,-0.0007230255839831233,0.00118502039379302,0.0010126066029144554,-3.89435556655524e-07,0.0002505345154959285
-5.116796440489433e-05,0.0030563589173293487,-0.003157953281551802,0.0007979236207340714,0.0009410456062959049,-4.915206054876039e-07,0.00019460295365338065
0.0,-0.0011171672229157022,-0.0013845012976894228,0.0005613644813125148,0.00044975899141272635,-2.3441751954024532e-07,8.326505627259824e-05
0.00010011123470524241,-0.0024616240269279225,0.002906562847759473,0.0004857248830477918,0.0008531701898109294,2.2685566407118883e-07,-0.00022217237537936483
6.303299962921765e-06,-0.0033756025214028615,0.000833518724468196,0.0005031516529921732,3.4853541624100726e-05,-4.915206054876039e-07,0.00029361078494515383
1.4089729328898334e-05,-0.004918798664977728,-0.004147200593220452,0.00039302929428256076,0.0005472747511902052,-2.722267968854435e-07,0.00019881436130497662
-2.4471635150166853e-05,-0.0047382276604964295,-0.007643307378473933,0.00028068223548379705,-9.158324362624249e-05,-8.318041015945277e-08,0.00033935646372526687
3.633667037449017e-05,-0.003242491657037977,-0.005090841675819278,0.0002046718623803611,4.338153243604037e-05,-2.8356958008898605e-07,9.050851763528706e-05
-1.3718946978123841e-05,-0.0014486466442263477,-0.003120875046497892,0.0001742677007786982,-0.00013570634088984414,-7.939948242493857e-08,0.00015911619686314975
1.8168335187245086e-05,0.0017667779015689562,0.002694846125157761,0.00017500927021130486,0.0005050055631591225,-3.100360742306135e-07,-0.00013261789107238712
-1.5202076381164256e-05,0.0009851687060257676,0.0008183166479433795,0.00015016686407110904,-3.26288438709104e-05,-1.890463867259907e-07,-8.2468875603385e-05
8.89877641825688e-06,-0.0018783833887209343,-0.0004063774564192611,0.00012384130671851042,0.00028921023417128857,5.671391601779721e-08,7.119494875308949e-05
1.853911753800519e-05,-0.004736373748371987,-0.00019762699310983778,0.00030478308834259847,0.000421208748987704,8.65832451205043e-07,0.00043831635286340664
-2.2988505747140826e-05,0.00023544679285559912,-0.0036392287725400623,0.0002228401956174805,0.00010418983621799269,-7.939948242491047e-08,0.0005015428941399909
2.224694104559184e-05,-0.0016414534665516172,0.0014263997035297428,8.490915176866247e-05,-0.00010048201788659297,7.183762695585399e-08,0.00033138959600318866
-1.260659992584353e-05,0.004184649610443716,0.006098998887503771,0.00010085279305888304,3.337041510561645e-05,6.049484375231702e-07,-0.00014385068973063862
-7.415647015202076e-07,0.0005951056728921549,-0.0017764182426620143,6.970708751943948e-05,0.0004008157210677315,2.7222679688541537e-07,0.0006904941574908529
-9.640341119762699e-06,-0.009710048201601543,-0.00034000741553835516,0.00011605487112347241,0.0002691879894327961,5.747010156470286e-07,0.003283420469010109
-0.00014089729328885383,0.012338524286279889,-0.0018205413422394765,0.0003155357787095976,0.00041564701341494076,-5.406726660363728e-07,0.004404726288271597
7.415647015202076e-06,-0.0015161290326650794,-0.004121616611030897,0.00014460511568405618,-0.00023581757559507216,-5.973865820541418e-07,0.00021754094636192752
-8.490915832406378e-05,0.012075639599647607,0.0006014089730194481,0.00016833518676302324,0.0002617723386874693,-1.5123710938084877e-08,-0.0016218876389669423
1.4089729328869557e-05,0.0022243233222803077,0.002776418242457586,1.9280683781945682e-05,-0.00012272895624021538,2.646649414165556e-08,0.0006765826397033634
-1.8168335187245086e-05,0.0001675936229634736,-0.0007271041897972837,0.0,0.0001149425305227678,4.159020507971233e-08,0.0006401118329231089
-1.260659992584353e-05,-0.0015806451617636384,-0.0006499814610786026,0.0,0.00029551353377093583,2.0795102539858977e-07,0.0005992847105791831
1.4089729328898334e-05,0.002350389321692985,0.003095291064142584,0.0,-0.0006562847644271369,-3.780927734542296e-09,-0.00043031474333539644
5.598813496477568e-05,-0.02429440118676366,0.0018654060068554893,4.931404771983804e-05,-0.0005168705982647716,-1.8904638672601881e-07,-0.00045713336875070795
1.0011123470537191e-05,0.012659251019727895,0.0028142380426596277,0.0002461994776417994,0.00019243604015568627,1.323324707081654e-07,0.004825364003938873
7.78642936596218e-06,-0.007724137930894514,-0.00447682610312814,0.00010863923746401849,7.638116556165312e-05,2.1929380860213235e-07,-0.0011470113457199551
1.260659992584353e-05,0.0049940674821783455,-0.0028783833888015088,0.000101594365294781,0.00046792732705222285,1.7770360352242001e-07,0.0011798327592514733
