A,IP,DP,IT,MT,V,R
-0.530952380952381,-0.02142857142857143,-8.158755123820155,0.0,0.0,-2.7068294695622864e-17,-25.30418837301433
-0.0024805577902923034,-0.020969428801287,-0.08622376381620565,0.00025744167337090295,0.0013555913113434718,0.0,-1.3059092633275882
-0.02666666666666667,-0.06333333333333334,-0.07285028992088176,-4.042198674546348e-15,0.012499999999995957,-3.947459643111668e-18,-27.030859748438946
-4.175094652767978e-06,-0.024383953114465208,-0.00045961674355047606,0.0002498833048078862,0.00016954514807326088,-1.1399541150793924e-19,-3.975874218517392e-06
5.334562023242692e-05,-0.02120009727128433,0.004963418868737088,0.0002327855424153916,0.0001543797675728056,-3.586238673014897e-05,-3.2782009108784387e-06
1.06725656847878e-05,-0.01873083789342994,-0.002084081661508497,6.287111421585749e-05,0.00015077424612876936,1.2710055497341516e-05,-1.360411604044254e-06
-1.4356515985672083e-05,-0.01661782330249838,0.0020802409048745565,0.00016378912150603184,8.376714979458125e-05,-2.287679612498917e-05,-3.838099425816309e-06
-2.6224602299573722e-05,-0.014964771355069465,-0.005040512810905998,7.922507481485407e-05,7.528744684207942e-05,6.541712605659683e-05,-1.1656632481747528e-06
-0.00012670829173646808,-0.010991246326785139,0.003936062775165337,0.0,0.00015547358387340508,-7.586140769443364e-05,-5.761583371867336e-06
-9.052191420164514e-05,-0.009728201951370958,-0.004253408430494649,9.240617417792284e-05,5.170099633476724e-05,8.19782148572609e-05,-1.536008800048465e-06
9.808432056643419e-06,-0.008772348528415458,0.0032768340160366028,0.00013399532262393127,3.316336311011632e-05,-6.316374650155268e-05,-7.646049611225865e-06
1.9647242688102192e-05,-0.008182295155168566,-0.003764430139569502,0.0,-6.139763340013931e-06,7.256083947309665e-05,2.2694299764370624e-06
-0.00012319175427111996,-0.007581699975611707,0.004136740114224124,1.0140295480478924e-05,-3.3052228939782575e-06,-7.97425135096975e-05,-4.902949694314123e-06
-7.918552036199095e-05,-0.006901764050101645,0.0007569122280719732,9.618117034993436e-05,-3.8253874571010116e-07,-1.459112072922816e-05,-4.725575511020564e-06
-4.675727861280154e-05,-0.0065657062809983445,-9.934741731330977e-08,0.0,3.19287219677326e-05,-1.29126003545545e-19,-6.962528397483131e-07
-0.0001258293473229435,-0.008729439901249967,-3.215811616440963e-09,-1.157586906335137e-16,-6.43933549349061e-05,-1.1304559632179073e-19,-1.358276470310515e-06
-0.00012537150596290855,-0.00891388585831985,-1.3367631939166886e-08,-1.7242892792805847e-06,-3.4987397012903945e-05,-1.2830988795186336e-19,-1.183755738635256e-06
-3.0281978660110356e-05,-0.006848774173628995,-0.004005680551632114,0.0,-4.6432367278819213e-05,7.721904558328437e-05,1.7987999861832706e-06
-8.188421265811486e-05,-0.006134118239489564,1.8072950311930315e-11,0.00014378999107814088,4.373361357871605e-05,0.0,-4.6257329276971735e-06
-0.00020775305479963995,-0.0061106397737583674,-0.0001065119242440167,0.0,8.24929299397168e-05,2.0543194066485806e-06,-1.2260496041830107e-06
-0.00010182705937942755,-0.0064809156297582285,0.0020479411841532093,0.0,1.3230429988962419e-05,-3.9481283141702084e-05,-1.7971694196938064e-06
-7.389162561576354e-05,-0.007114121510673235,-0.00255529718633107,0.0001264367816091954,8.210180623973727e-07,4.926108374384237e-05,-2.3171372995082317e-06
4.2683887226331294e-05,-0.005418963616317694,0.0032609824182889147,1.181653920295798e-16,5.9668189216137305e-05,-6.287079330078232e-05,-1.6467371476235126e-06
9.03100154740937e-05,-0.0051989488287714734,-3.3982728866843796e-07,1.200947773324479e-16,-1.200947773324479e-16,-1.1728005598871864e-19,2.024241541917899e-07
-0.00012653678598438438,-0.005143256267461701,9.900760386897508e-08,1.118798947471414e-05,1.9313344958783736e-05,0.0,-8.200843998101092e-07
-9.664309518003948e-05,-0.0045385407353218735,8.885367433190247e-08,9.471944512188694e-05,-7.691890866727955e-05,0.0,-0.0418006125771691
-0.0001130489888135751,-0.004380696533862792,-0.0012975876207615236,-1.9507356587874322e-05,-9.852868242679184e-05,2.501790929630242e-05,-0.1483540754020965
-0.00011752616155068841,-0.0034501116263094623,3.40050538826485e-08,0.0,-0.0001352257178153202,0.0,-0.10876860181272231
-5.154639175257608e-05,-0.003630173872903874,0.000562664784820817,-1.1283787249419925e-05,-8.873159973289425e-06,-1.0847822741960345e-05,-0.002784132114921609
-9.064150180647677e-06,-0.0042547184112790605,-0.09713231741468233,0.00017003966750038328,2.7350362565816034e-05,-3.483539250612701e-05,-0.0006899590087212513
4.105090311986864e-06,-0.0043119868637110014,-1.1087667969777797e-07,9.195402298863318e-05,-2.4630541871921184e-05,-1.2445192963504766e-19,-0.0923776137022114
-6.403331082601518e-05,-0.0024643259059197033,6.384998576721038e-08,0.0,-8.845374746796201e-05,0.0,-0.05751862225375113
-4.7314407570303056e-05,-0.0017436358789814648,3.781291104011629e-08,0.0,0.0,0.0,-0.006784753969623136
-5.735373621982808e-05,-0.0035324260160305484,-0.002121633378335927,3.4788331805376204e-05,2.115506663842343e-05,4.089979550102256e-05,-0.003681585572160943
-1.1217735128169876e-05,-0.0023833799813403832,0.0025638864001288914,4.0983606557342565e-05,-9.174108134523968e-05,-4.942467457461461e-05,0.0016561372518818754
3.8735273965034335e-05,-0.002171938200384178,-1.2590320453806702e-07,0.0,-1.4366863382129204e-05,0.0,0.0014509505022762131
1.3414185961041188e-05,-0.0022672336850951243,-0.003744913881242193,1.181653920295798e-16,-3.071349818889487e-06,7.218984617000056e-05,-0.0023916325942064556
2.0528557816263192e-05,-0.003520612633821236,0.0005523969672139941,0.0,-1.2541337368927187e-05,-1.0649627263045732e-05,0.0012771853603268095
-3.926144909496068e-05,-0.0015570250505676912,0.00013319433274970358,1.9086146984065513e-05,1.7478346558812593e-05,-2.5672942274777845e-06,-0.0012860940523222882
-5.297265235553382e-05,-0.00044167013717980643,7.854355035479271e-08,2.4672194247811406e-05,4.464342053780768e-05,-1.29126003545545e-19,-0.0019420068531844873
-2.9308765691506562e-05,-0.00021445504013835844,-0.004228496584010328,-1.2125942686209828e-16,1.998814719033698e-05,8.151500457949457e-05,-0.0043293717510459115
-6.711160548757879e-05,-0.002370782350760104,1.3888559055894139e-08,0.0,-2.9662588060808306e-05,0.0,-0.0023066507037425147
-9.724583475008609e-05,-0.0006786807208436728,3.663310117876306e-08,1.68876799274975e-05,-4.22758698856848e-05,0.0,-0.00349615679353549
-7.101938519768586e-05,-0.001439159122295122,0.0038409389314226256,3.503657101940902e-05,-0.00020566722929768252,-7.40371336504527e-05,0.0004000452521471129
7.06289391335019e-05,-0.0008356472299356216,-1.6852353437363485e-07,0.0,0.00012946802415265602,0.0,0.00256921179288011
-2.941176470588345e-05,-0.0004432165929957204,5.6633844900160044e-08,0.0,-9.951263742508809e-05,0.0,-0.0010349111718054671
4.650322813670827e-05,-0.001285498216623775,-1.1753040845825387e-07,0.0,-1.0609959817651547e-05,0.0,0.0017193074776582376
-1.0144473999896447e-05,0.00036168048818677136,4.318994697998843e-08,7.16632764826467e-05,1.1738883961755627e-16,-1.146375386890198e-19,-0.0004635854204770778
-0.00016027811639351443,-0.0012744367691543633,5.440453516299014e-08,1.6253555465205463e-05,6.704591629417182e-05,0.0,-0.005748540169536201
3.4490149297505345e-05,-0.0001978036853415455,-1.9733246193319843e-08,2.0868937432722e-05,0.0001664438766589745,0.0,0.0012069997202715508
-5.00847588226229e-06,-0.00041685930035444596,-8.614009022620853e-09,-2.2345507782520588e-05,0.00020188010479272616,0.0,-0.00016319614985017472
-2.395838899873643e-05,-0.00011750595248683424,7.189311777508821e-09,0.0,4.3107287269081474e-05,0.0,-0.0008671278385228023
9.031198686371101e-06,-0.00014203612479474548,-2.2031605390492332e-09,-1.274387759462888e-16,-6.732348111658457e-05,1.2445192963504766e-19,0.0003346838071875042
0.00011310175768007195,3.877849058588142e-05,-0.003747343391616531,8.981380065714988e-05,0.00016272883742761643,7.223699994784336e-05,0.00105310333831622
-0.00028717663862879166,-0.000543485161085969,0.0042456657439044615,0.0,-0.0002430302068454907,-8.183886155636672e-05,-0.0070305281436057925
6.516228577726455e-05,-0.00018427288257025868,-1.2026022845907494e-07,-1.0414944618966666e-05,-1.2674271229318777e-05,-1.2111894689395367e-19,0.002383643765368648
2.740833463725258e-05,-2.730402127963345e-05,0.0007236163745472327,7.0150732801780485e-06,0.00010686903457982534,-5.73187693445099e-20,0.0009590418300662718
-9.249772313296904e-05,-4.553734061930783e-05,-0.0015510287508718374,7.399817850637523e-05,0.00011555100182136109,-6.471245316576504e-20,-0.0034236709143726186
-0.00019420979880202483,-0.00040626119899672876,0.11650612721643896,1.1522532237687023e-16,-0.00014887626068712983,3.875492755849073e-05,-0.007293322036402852
3.705332746877984e-05,-1.5327815322300828e-06,-5.35311457637385e-08,0.0,-5.7712556812896205e-05,-1.3637511022625776e-19,0.0013755724217625078
3.11842847617617e-05,0.00027104169872256204,-0.0015526448404614677,1.1543807878070506e-16,9.52967123147947e-05,2.9927681181720252e-05,-5.793764947976274e-05
3.6509675063907112e-06,5.439941584539328e-05,-2.4724906955608173e-10,3.697908517179554e-05,4.172534292732869e-07,1.146375386890198e-19,5.901886515928993e-05
8.503497027994852e-05,-0.0004983968048597469,-0.002611759396686349,0.00012381791703387022,0.00019013331833271584,5.0345952635427736e-05,0.0009123028145716355
7.947376519464509e-05,-0.00024914089347079037,-3.598521492981825e-08,-1.1543807878070506e-16,5.600861671021137e-05,1.127324988092823e-19,0.0028372639750314987
-2.0438498699371444e-05,0.0005029291538241586,5.6733779167350856e-08,0.0014184536690930551,-2.2405840820196996e-05,0.0,-0.001224827107018886
-1.9931812221346888e-05,0.0004619867704050489,0.0038925480715803593,0.0,1.1248069469978194e-05,-7.503569659352512e-05,0.0022247120577735357
1.589061345158787e-05,0.0004188223700415764,-0.0026328539057622006,0.0,-4.065040650408417e-05,5.075141660507511e-05,-0.001437651101716929
-7.438122040710917e-06,0.00012170210876296904,8.888910423041607e-07,0.00015220395996734382,-1.1767775168901457e-05,5.6452015786581434e-05,-0.0033791688263911314
3.1808803301237965e-05,0.00044226654439823805,-3.0762223028934425e-09,0.0,5.922359773759584e-06,-2.6063007272264104e-19,0.0011280973472241
-6.169047253364856e-06,0.0005528336661033581,-1.154691358405304e-06,7.157118722163287e-05,3.079404085398716e-05,-7.461731428863953e-05,0.0035280892406842103
5.257219059342588e-05,0.00042968148945966215,0.002757919186474892,0.0005562137764784883,4.149356311226971e-05,-5.31620249269118e-05,0.0036384902766314875
6.5978650490437125e-06,0.00037680046217868307,-0.2173098219342749,0.0,0.0,-7.155893436273155e-05,0.0006729556646087575
-4.521855635571119e-06,0.0003753140177525049,0.2510666859998683,0.0,0.0001250488472059918,8.290068665215202e-05,-0.0006907739808735831
5.283327152432094e-05,1.4834163723753094e-05,-0.003132565186445039,0.0,0.0,6.0384720811364254e-05,-0.00048686456803103334
-5.312842538531872e-05,-0.0002264948661166458,2.0840331829928708e-08,0.0,-4.9213699304279886e-05,0.0,-0.0019142612808418812
-9.45554661543451e-05,-0.0004533188831777505,3.206840495355612e-08,0.0,1.8938460948969008e-05,0.0,-0.003454881223240008
-1.0346061785565744e-05,-0.0008012885041276564,0.0005773473657418856,-6.677404201075956e-05,-2.315280853628776e-05,-1.1129007001767031e-05,0.00018118836886309183
1.279174019061977e-05,-0.0007154523079384444,-0.0011939437068241995,0.0,3.0237617995184173e-05,2.3013711146516645e-05,-0.0004116913139466006
-3.7813592030459506e-05,-0.0009673759974960909,0.004281873201428041,-0.00016272883742761643,-5.945861367584546e-06,-8.253794398372715e-05,0.0021274347093210304
-0.00013391289859987978,-0.0003261095937684852,2.37807192766792e-07,0.0,-0.00015512593941337634,0.0,-0.004923636632903248
2.8888543125357323e-05,-0.000927908303511615,-0.0011072376654854422,-2.1523779886947398e-05,-3.324516363259569e-05,2.13422540324672e-05,0.0002958739626554582
0.000152092943220488,-0.0009653183682762678,-6.876103320758798e-08,-9.675109490266606e-05,5.428718922247697e-05,0.0,0.00573763559136236
5.841803949059469e-07,-0.0003137048720644935,0.004303271344705427,0.0001454609183315808,0.0,-8.295361607664447e-05,0.0031183082810773374
-9.317379364456863e-05,-0.00035798352295044725,1.6169943495806092e-07,0.0,-4.882088836580795e-05,0.0,-0.0033741455982075983
2.333930774942971e-05,-0.0010617430777734973,-0.00422316764810111,0.0,0.00011959999329972029,8.140839880064998e-05,-0.0023132077367979285
2.9569271074128247e-05,-0.0007653336415465162,-1.5033368741162552e-08,0.0,-3.351826167360148e-05,0.0,0.0011114583735028518
2.091254752851551e-05,-0.0005960764864715932,-6.045342518530215e-08,-6.28203008765628e-06,4.017192924455028e-05,-1.2111894689395367e-19,0.0007903626176772204
-4.704140744954707e-05,-2.498883607736144e-05,9.209988688418412e-08,0.00011977513106137956,9.166651373625132e-05,0.0,-0.001860828428602527
-2.4676189013466624e-05,-0.0004753750063992994,-0.004281003371151995,-1.1522532237687023e-16,1.090462294583571e-05,8.252700558029997e-05,-0.004129721711621657
1.3099090768993682e-05,-0.0003016643550624133,-0.062835711763308,2.0033903528929558e-05,6.241331484049931e-05,-8.360302049622438e-05,0.0030287771937138586
-9.49801797558774e-05,5.102241061266141e-06,0.017406310577167343,4.317280897994427e-06,-7.535617567408453e-05,-7.986969661289693e-05,-0.0028535491664853072
0.0001755947465330631,0.00021697772720862267,0.0015591363155165398,-6.472016785640864e-05,7.157145216635585e-05,0.0,0.006348585136316352
-0.00011554418207901981,0.0004305765577139312,0.010416027083913997,6.203714474041333e-05,-3.082470629289287e-05,-5.0599046178899634e-05,-0.0038765451983185997
-9.126904234615234e-05,0.00024198599646514492,-0.017499649005565047,0.0,-4.6585240364181374e-05,6.755698722680804e-05,-0.003797093175004581
3.536956234298346e-05,0.0010724359821944255,0.25390140722738397,0.0001602097932918694,-3.856494336462604e-06,8.131693772312574e-05,0.00041247479442665697
0.00012384836127473192,0.00011780697779791572,-0.00370242291060029,0.00016009666213562905,0.00020351910587524543,7.136384231989126e-05,0.001555944495794181
0.00014242739789424745,-0.00023296309151929216,0.0025357331960651724,-2.1173203748716333e-05,0.00013837787805158453,-4.888348952909867e-05,0.007116807704591759
-0.0001862254211651825,0.00039915506180530805,0.002822437892396757,-0.0001365983414176307,-0.00022453450164299207,-5.439941584519897e-05,-0.004524877449518501
0.00010033034239542768,0.0003464131065581587,-0.0036997625352005598,0.00010490603098079442,1.0267398776857642e-05,7.131378063479303e-05,0.0007632318204742282
-3.9232588466727346e-05,0.0002760095484387069,1.5680862403059816e-08,0.0,2.265543841039613e-05,0.0,-0.0014540606145309334
3.0774935113088614e-05,0.00022988505747126436,-9.603605932217566e-09,0.0,-2.595476455309216e-05,0.0,0.0011174205986868317
-4.498189040775792e-05,-7.915644350975582e-05,1.8165387515292462e-08,0.0,-6.425984343965416e-05,0.0,-0.001657649952536796
4.375231738969225e-05,-7.563959955506118e-05,-1.8447261852028195e-08,0.0,5.635891731542068e-05,0.0,0.001612382229976517
-1.8048596519586162e-05,-0.00011604978180088404,5.5685112931516284e-09,-1.2125942686209828e-16,1.54086525510019e-05,1.1841740904501785e-19,-0.0006621796040730313
1.2997910462494204e-05,-0.0002589710261770769,-5.583665819660312e-09,0.0,-2.232130615284164e-05,0.0,0.000495044031276924
-4.142895952187188e-05,1.4553498661078124e-06,1.4568844176668381e-08,0.0,3.589863003070455e-05,0.0,-0.0015241301059806935
1.5300036305167873e-05,-0.00025870027488200816,0.000573053022314961,-1.1673130138412979e-16,8.090866656292955e-05,-1.1047144857631869e-05,0.0009935915486012192
7.389149291525163e-05,-0.0006264748666560921,-0.18679853086621018,-1.2125942686209828e-16,4.7411238619027045e-06,-6.090727870265609e-05,0.0031379940501246764
-6.63606659405655e-05,-0.0011586795290699078,0.250202854228139,-0.00011716197292671139,-0.00013464031948552397,8.194595715989833e-05,-0.0027181417370889874
