Window_Start_Time,A,IP,DP,IT,MT,V,R
2025-03-01 00:00:00,-0.0003333333333333333,0.004333333332776265,,0.00025000000499993027,-0.0016666666649999874,-1.0526559048297781e-19,-0.009166666666666667
2025-03-01 00:30:00,8.333333333333333e-05,0.012250000000214721,,0.0010833333299999745,0.0004166666699999176,8.333333308997076e-05,0.0
2025-03-01 01:00:00,0.0,0.011083333332716763,,0.0019166666700000253,0.002833333334999905,0.0,0.0
2025-03-01 01:30:00,-0.00025,0.007499999999267015,,0.0010000000050000382,0.0014999999999998923,8.333333308997087e-05,-0.009166666666666667
2025-03-01 02:00:00,-8.333333333333333e-05,0.00100000000070884,,-0.0006666666599999492,0.0007500000000001078,-8.333333308997087e-05,0.0
2025-03-01 02:30:00,8.333333333333333e-05,-0.022750000000399694,,-0.00424999999500007,-0.007083333330000083,-8.333333308997097e-05,-0.009166666666666667
2025-03-01 03:00:00,-0.00016666666666666666,-0.016999999999953004,,-0.0010833333299999745,-0.00225,0.0,0.0
2025-03-01 03:30:00,-0.0003333333333333333,-0.00999999999983012,,-0.00025000000499993027,-0.00349999999500007,-8.333333308997097e-05,0.0
2025-03-01 04:00:00,0.00016666666666666666,-0.0021666666669921983,,0.0003333333300000824,0.0013333333350001204,-1.0526559048297781e-19,0.009166666666666667
2025-03-01 04:30:00,0.00075,0.010916666667145695,,0.001416666660000057,0.005749999994999962,8.333333308997076e-05,-0.009166666666666667
2025-03-01 05:00:00,8.333333333333333e-05,0.004166666665991889,,0.0001666666649999873,0.0,0.0,0.009166666666666667
2025-03-01 05:30:00,0.0003333333333333333,0.013416666666498942,,0.001333333334999905,0.003166666664999987,0.0,-0.025833333333333333
2025-03-01 06:00:00,-0.0003333333333333333,0.009749999999652047,,0.0014999999999998923,0.0005833333350000127,0.0,0.0
2025-03-01 06:30:00,-0.00014978234957441143,0.00932116171183801,,0.0013544735119483328,0.001802507835234032,-8.650882390997434e-05,0.0
2025-03-01 07:00:00,-0.0002359109485730182,0.0002755598476880064,,-0.0008810455740539147,-0.0017620911470252428,7.462729173202538e-05,0.0
2025-03-01 07:30:00,-0.00016666666666666666,-0.013583333333283317,,-0.0031666666649998797,-0.0058333333350000125,0.0,-0.009166666666666667
2025-03-01 08:00:00,0.0009166666666666666,-0.017916666666059584,,-0.0015,-0.0010833333299999745,-8.333333308997065e-05,0.0
2025-03-01 08:30:00,-0.0008333333333333198,-0.01075000000036175,,-0.0009166666649998795,-0.00666666665999995,-8.333333308997097e-05,0.0
2025-03-01 09:00:00,0.00016666666666666666,-0.0007500000005311988,,0.0001666666649999873,0.00075,-1.0526559048297781e-19,0.0
2025-03-01 09:30:00,0.0008333333333333198,0.006833333333338507,,0.0009166666650000951,0.007999999994999854,-1.0526559048297781e-19,0.0
2025-03-01 10:00:00,-0.0004166666666666667,0.013916666666853362,,0.0018333333300000823,0.0020833333350000127,8.333333308997076e-05,0.0
2025-03-01 10:30:00,8.333333333333333e-05,0.012583333333784766,,0.0009166666649999873,0.0019166666699999176,-1.0526559048297781e-19,0.0
2025-03-01 11:00:00,0.0,0.0084166666665869,,0.0013333333350000127,0.001166666670000133,8.333333308997087e-05,-0.025833333333333333
2025-03-01 11:30:00,2.622307417647986e-05,0.011931466495163079,,0.0016880821742974149,0.0039467823200066456,0.0,0.0
2025-03-01 12:00:00,0.0004166666666666532,0.0018333333334247409,,-0.000499999994999962,0.0020833333350001207,-8.333333308997097e-05,0.0
2025-03-01 12:30:00,-0.0010902514265114633,0.011284274524996404,,0.001989168584724477,-0.0007347530414538581,5.4512571166377394e-05,-0.09002927353505527
2025-03-01 13:00:00,-0.0005833333333333334,0.008999999999125161,,0.0010833333299999745,-0.0001666666650000951,0.0,1.0779196465456927e-16
2025-03-01 13:30:00,0.0011180296394890522,-0.028064467472785386,,-0.007482059494166154,-0.006989445298797384,-9.860306940451781e-05,0.12214487471846305
2025-03-01 14:00:00,8.333333333333333e-05,-0.021416666667331528,,-0.0011666666699999175,-0.0014166666599999492,0.0,0.0
2025-03-01 14:30:00,-0.0006666666666666666,-0.01741666666691502,,-0.00025000000499993027,-0.00525,-1.0526559048297781e-19,0.009166666666666667
2025-03-01 15:00:00,-8.333333333333333e-05,-0.0034166666666692537,,-0.0001666666650000951,-0.0002500000050000381,-1.0526559048297781e-19,0.0
2025-03-01 15:30:00,0.00025,0.008333333333192342,,0.0009166666649998795,0.0010833333299999745,-8.333333308997097e-05,-0.009166666666666667
2025-03-01 16:00:00,8.333333333333333e-05,0.0383333333326827,,0.004666666664999987,0.007333333335000013,8.333333308997076e-05,0.0
2025-03-01 16:30:00,0.0004166666666666667,0.012333333333608419,,0.0014999999999998923,0.0030000000000001076,8.333333308997087e-05,0.0
2025-03-01 17:00:00,0.0004451690187381673,0.00851148932174349,,-0.00017637703493253638,-0.00043784924980332405,0.0,0.0
2025-03-01 17:30:00,0.00011032959391224831,-0.004700646501835068,,-0.000911055943850574,-0.0001482430645780959,8.057407509731985e-05,0.0
2025-03-01 18:00:00,-0.0003333333333333333,-0.015166666666529986,,-0.0028333333350000125,-0.004416666659999949,0.0,-0.035
2025-03-01 18:30:00,0.0003333333333333333,-0.014833333334168936,,-0.0011666666700000253,-0.001333333334999905,-8.333333308997087e-05,0.025833333333333333
2025-03-01 19:00:00,0.00016666666666666666,-0.0008333333339244645,,-0.00033333332999986684,-0.0024166666649999874,-8.333333308997097e-05,0.0
2025-03-01 19:30:00,0.0004166666666666667,0.008499999999977147,,0.0009166666650000951,0.0024166666649999874,0.0,-0.009166666666666667
