A,IP,DP,IT,MT,V,R
,,,,,,
,,,,,,
-8.787346221441125e-05,,,,,,-0.210896309314587
0.0,,,,,,0.0
0.0,,,,,,0.0
0.0,,,,,,0.0
0.0,,,,,,0.0
0.0355,,,,,,0.3225
-0.0019259282880918756,,,,,,0.0
-8.333333333333333e-05,,,,,,0.0
-8.333333333333333e-05,,,,,,0.0
-8.333333333333333e-05,,,,,,0.0
0.0,,,,,,0.0
-8.333333333333333e-05,,,,,,0.0
8.333333333333333e-05,,,,,,0.0
-2.6947991163642318e-17,,,,,,0.0
-8.333333333333333e-05,,,,,,0.0
0.0,,,,,,0.0
-0.00016666666666666666,,,,,,0.0
0.0,,,,,,0.0
-4.672897196261682e-05,,,,,,0.0
-8.333333333333333e-05,,,,,,0.0
-8.333333333333333e-05,,,,,,0.0
2.6947991163642318e-17,,,,,,0.0
2.6947991163642318e-17,,,,,,0.0
2.6947991163642318e-17,,,,,,0.0
0.0,,,,,,0.0
-8.333333333333333e-05,,,,,,0.0
-8.333333333333333e-05,,,,,,0.0
8.333333333333333e-05,,,,,,0.0
-2.83855725729378e-17,,,,,,0.0
-0.00016666666666666666,,,,,,0.0
0.0,,,,,,0.0
0.0,,,,,,0.0
-8.333333333333333e-05,,,,,,0.0
8.333333333333333e-05,,,,,,0.0
-0.00016666666666666666,,,,,,0.0
0.0,,,,,,0.0
0.0,,,,,,0.0
-8.333333333333333e-05,,,,,,0.0
0.0,,,,,,0.0
-8.333333333333333e-05,,,,,,0.0
-8.333333333333333e-05,,,,,,0.0
8.333333333333333e-05,,,,,,0.0
0.00016666666666666666,,,,,,0.0
8.333333333333333e-05,,,,,,0.0
0.00016666666666666666,,,,,,0.0
8.333333333333333e-05,,,,,,0.0
0.0,,,,,,0.0
8.333333333333333e-05,,,,,,0.0
-0.00016666666666666666,,,,,,0.0
8.333333333333333e-05,,,,,,0.0
8.333333333333333e-05,,,,,,0.0
-8.333333333333333e-05,,,,,,0.0
2.6947991163642318e-17,,,,,,0.0
2.6947991163642318e-17,,,,,,0.0
2.6947991163642318e-17,,,,,,0.0
2.6947991163642318e-17,,,,,,0.0
2.6947991163642318e-17,,,,,,0.0
8.333333333333333e-05,,,,,,0.0
8.333333333333333e-05,,,,,,0.0
-0.00016666666666666666,,,,,,0.0
-2.6947991163642318e-17,,,,,,0.0
-8.333333333333333e-05,,,,,,0.0
8.333333333333333e-05,,,,,,0.0
-8.333333333333333e-05,,,,,,0.0
2.6947991163642318e-17,,,,,,0.0
-8.333333333333333e-05,,,,,,0.0
2.6947991163642318e-17,,,,,,0.0
-8.333333333333333e-05,,,,,,0.0
-8.333333333333333e-05,,,,,,0.0
8.333333333333333e-05,,,,,,0.0
0.0,-0.018883952367155652,0.0,,,,-0.23751378777851312
0.0,0.007538166716013122,9.80178468547649,,0.0,,0.06846695574389375
-8.898985610246972e-05,-0.004987493192672525,-0.09224197210698824,0.0019309547351951195,0.8178339686744287,0.008657954572107295,0.0
-8.333333333333333e-05,-0.03583333333332298,-0.10833333333266416,-8.623357172365542e-16,0.0008333333400000508,-0.0033333333329462526,0.0
