Window_Start_Time,Dominant Status_output,Dominant Status_testbaru,Match
2025-03-03 15:00:00,Electrical Downhole Problem,Shut-in,False
2025-03-03 18:00:00,Electrical Downhole Problem,Shut-in,False
2025-03-03 21:00:00,Electrical Downhole Problem,Shut-in,False
2025-03-04 00:00:00,Electrical Downhole Problem,Shut-in,False
2025-03-04 03:00:00,Electrical Downhole Problem,Shut-in,False
2025-03-04 06:00:00,Electrical Downhole Problem,Shut-in,False
2025-03-04 09:00:00,Electrical Downhole Problem,Shut-in,False
2025-03-04 12:00:00,Electrical Downhole Problem,Shut-in,False
2025-03-04 15:00:00,Electrical Downhole Problem,Shut-in,False
2025-03-04 18:00:00,Electrical Downhole Problem,Shut-in,False
2025-03-04 21:00:00,Electrical Downhole Problem,Shut-in,False
2025-03-05 00:00:00,Electrical Downhole Problem,Shut-in,False
2025-03-05 03:00:00,Electrical Downhole Problem,Shut-in,False
2025-03-05 06:00:00,Electrical Downhole Problem,Shut-in,False
2025-03-05 09:00:00,Electrical Downhole Problem,Shut-in,False
2025-03-05 12:00:00,Electrical Downhole Problem,Shut-in,False
2025-03-05 15:00:00,Electrical Downhole Problem,Shut-in,False
2025-03-05 18:00:00,Electrical Downhole Problem,Shut-in,False
2025-03-05 21:00:00,Electrical Downhole Problem,Shut-in,False
2025-03-06 00:00:00,Electrical Downhole Problem,Shut-in,False
2025-03-06 03:00:00,Electrical Downhole Problem,Shut-in,False
2025-03-06 06:00:00,Electrical Downhole Problem,Shut-in,False
2025-03-06 09:00:00,Electrical Downhole Problem,Shut-in,False
2025-03-06 12:00:00,Electrical Downhole Problem,Shut-in,False
2025-03-06 15:00:00,Electrical Downhole Problem,Shut-in,False
2025-03-06 18:00:00,Electrical Downhole Problem,Shut-in,False
2025-03-26 09:00:00,Shut-in,100% Watercut,False
2025-03-26 12:00:00,Shut-in,100% Watercut,False
2025-03-26 15:00:00,Shut-in,100% Watercut,False
2025-03-26 18:00:00,Shut-in,100% Watercut,False
2025-03-26 21:00:00,Shut-in,100% Watercut,False
2025-04-06 00:00:00,Shut-in,100% Watercut,False
2025-04-06 03:00:00,Shut-in,100% Watercut,False
2025-04-06 06:00:00,Shut-in,100% Watercut,False
2025-04-06 09:00:00,Shut-in,100% Watercut,False
2025-04-06 12:00:00,Shut-in,100% Watercut,False
2025-04-16 09:00:00,Shut-in,100% Watercut,False
2025-04-16 12:00:00,Shut-in,100% Watercut,False
2025-04-16 15:00:00,Shut-in,100% Watercut,False
2025-04-16 18:00:00,Shut-in,100% Watercut,False
2025-04-16 21:00:00,Shut-in,100% Watercut,False
2025-05-10 18:00:00,Shut-in,100% Watercut,False
2025-05-10 21:00:00,Shut-in,100% Watercut,False
